strategy,sample,elapsed,nodes,links,layers,techs,prestige,log10_humus,log10_water,log10_sugar,log10_spore,log10_mineral,log10_enzyme,log10_honeydew,log10_sclerotium,log10_core,log10_signal
A-aggressive,1m,60,19,18,1,0,0,1.5640,2.1691,1.2377,1.1318,1.8687,,,,,
A-aggressive,5m,300,45,44,3,0,0,1.7910,3.1433,2.2521,1.2868,1.8143,1.4576,,,,
A-aggressive,10m,600,48,47,3,1,0,3.0139,3.7477,2.4935,1.4601,3.3960,0.7838,1.7394,,,
A-aggressive,30m,1800,61,60,3,2,0,2.0422,5.4169,3.0820,1.4099,3.8247,0.6148,2.5793,,,
A-aggressive,1h,3600,73,72,3,3,0,3.5805,6.1410,4.3504,2.4354,4.2253,2.2059,2.6919,,,
A-aggressive,5h,18000,140,139,4,12,0,5.0498,8.1413,6.3559,3.1964,8.7835,1.3882,4.3718,4.9117,,
A-aggressive,10h,36000,75,74,3,14,7,2.8865,5.6414,3.5960,2.5521,3.8545,2.3653,2.8651,,,
A-aggressive,24h,86400,71,70,3,14,35,3.7053,5.4750,3.7952,2.6366,3.7125,2.5930,2.7375,,,
A-aggressive,7d,604800,73,72,4,15,427,4.5182,6.4310,,3.9933,6.7447,1.3753,2.5083,2.1874,,
B-idle,1m,60,13,12,1,0,0,1.6354,2.0762,,0.8241,1.6880,,,,,
B-idle,5m,300,44,43,3,0,0,2.1581,3.1748,1.8633,1.2625,3.1880,0.4594,,,,
B-idle,10m,600,48,47,3,1,0,2.9474,3.7371,2.9500,1.8872,3.2230,1.6690,1.6317,,,
B-idle,30m,1800,61,60,3,2,0,3.6243,5.3626,3.0735,2.3219,3.8222,1.9851,2.4865,,,
B-idle,1h,3600,73,72,3,3,0,3.3994,6.1254,3.6921,2.6276,4.1299,1.6078,2.4566,,,
B-idle,5h,18000,139,138,4,12,0,5.0351,8.0643,6.3355,3.4983,8.7818,1.1686,4.3239,4.9098,,
B-idle,10h,36000,153,152,4,12,0,6.1783,8.6195,7.1945,3.8817,9.4303,,6.0187,5.5551,,
B-idle,24h,86400,74,73,5,16,5,4.2955,6.5443,2.7635,3.3351,6.7423,,2.0381,1.5610,3.3039,
B-idle,7d,604800,50,49,5,19,143,4.1001,6.3962,2.5601,5.9643,6.2237,1.9273,,3.4729,3.1412,
C-prestige,1m,60,19,18,1,0,0,1.5640,2.1691,1.2377,1.1318,1.8687,,,,,
C-prestige,5m,300,45,44,3,0,0,1.7910,3.1433,2.2521,1.2868,1.8143,1.4576,,,,
C-prestige,10m,600,48,47,3,1,0,3.0139,3.7477,2.4935,1.4601,3.3960,0.7838,1.7394,,,
C-prestige,30m,1800,61,60,3,2,0,2.6713,5.3805,3.3773,1.7931,3.8316,1.1346,2.5936,,,
C-prestige,1h,3600,73,72,3,3,0,3.6136,6.1379,4.4189,2.5884,4.2268,2.2119,2.7308,,,
C-prestige,5h,18000,48,47,3,5,6,2.6887,3.4923,2.2469,1.9824,3.1953,1.9682,0.8688,,,
C-prestige,10h,36000,56,55,3,5,16,3.2793,4.6661,3.2621,2.3679,3.6573,1.8014,2.3891,,,
C-prestige,24h,86400,70,69,3,5,48,3.7514,5.6171,3.5806,2.4124,3.9301,2.4548,2.9029,,,
C-prestige,7d,604800,8,7,1,11,1347,2.5210,2.7621,2.5819,1.6123,,,,,,
D-research,1m,60,19,18,1,0,0,1.5640,2.1691,1.2377,1.1318,1.8687,,,,,
D-research,5m,300,45,44,3,0,0,1.7910,3.1433,2.2521,1.2868,1.8143,1.4576,,,,
D-research,10m,600,48,47,3,1,0,3.0139,3.7477,2.4935,1.4601,3.3960,0.7838,1.7394,,,
D-research,30m,1800,61,60,3,2,0,2.0422,5.4169,3.0820,1.4099,3.8247,0.6148,2.5793,,,
D-research,1h,3600,73,72,3,3,0,3.5805,6.1410,4.3504,2.4354,4.2253,2.2059,2.6919,,,
D-research,5h,18000,136,135,4,9,0,4.2346,8.1065,5.7159,3.6379,8.7224,,3.9035,4.8636,,
D-research,10h,36000,149,148,4,11,0,6.0953,8.6670,6.9640,3.9648,9.3763,,5.8884,5.5000,,
D-research,24h,86400,126,125,4,14,1,3.8742,6.9634,4.3952,3.2060,7.3909,2.6907,3.1058,3.3092,,
D-research,7d,604800,106,105,4,18,7,6.8773,8.1474,,6.4703,8.7033,0.9711,4.3448,5.0303,,
E-automation,1m,60,19,18,1,0,0,1.5640,2.1691,1.2377,1.1318,1.8687,,,,,
E-automation,5m,300,45,44,3,0,0,1.7910,3.1433,2.2521,1.2868,1.8143,1.4576,,,,
E-automation,10m,600,48,47,3,1,0,3.0139,3.7477,2.4935,1.4601,3.3960,0.7838,1.7394,,,
E-automation,30m,1800,61,60,3,2,0,2.3786,5.4193,2.7810,2.3336,3.7975,2.1197,2.6112,,,
